"symbol","year","dividend"
"BCE.TO",1996,1.0200
"BCE.TO",1997,1.6900
"BCE.TO",1998,1.3600
"BCE.TO",1999,1.3600
"BCE.TO",2000,134.7620
"BCE.TO",2001,1.2000
"BCE.TO",2002,1.2000
"BCE.TO",2003,1.2000
"BCE.TO",2004,1.2000
"BCE.TO",2005,1.3200
"BCE.TO",2006,1.3200
"BCE.TO",2007,1.4600
"BCE.TO",2008,0.7300
"BCE.TO",2009,1.5800
"BCE.TO",2010,1.7860
"BCE.TO",2011,2.0470
"BCE.TO",2012,2.2220
"BCE.TO",2013,2.3320
"BCE.TO",2014,2.4720
"BCE.TO",2015,2.6000
"BCE.TO",2016,2.7320
"BCE.TO",2017,2.8720
"BCE.TO",2018,3.0200
"BCE.TO",2019,3.1720
"BCE.TO",2020,3.3320
"BCE.TO",2021,3.5000
"BCE.TO",2022,3.6800
"BCE.TO",2023,3.8720
"BCE.TO",2024,3.9920
"BCE.TO",2025,2.3120
"BCE.TO",2026,0.4380
"CAS.TO",1996,0.0120
"CAS.TO",1997,0.0250
"CAS.TO",1998,0.0250
"CAS.TO",1999,0.0250
"CAS.TO",2001,0.1200
"CAS.TO",2002,0.1200
"CAS.TO",2003,0.1600
"CAS.TO",2004,0.1600
"CAS.TO",2005,0.1600
"CAS.TO",2006,0.1600
"CAS.TO",2007,0.1600
"CAS.TO",2008,0.1600
"CAS.TO",2009,0.1600
"CAS.TO",2010,0.1600
"CAS.TO",2011,0.1600
"CAS.TO",2012,0.1600
"CAS.TO",2013,0.1600
"CAS.TO",2014,0.1600
"CAS.TO",2015,0.1600
"CAS.TO",2016,0.1600
"CAS.TO",2017,0.1600
"CAS.TO",2018,0.1600
"CAS.TO",2019,0.2400
"CAS.TO",2020,0.3200
"CAS.TO",2021,0.4000
"CAS.TO",2022,0.4800
"CAS.TO",2023,0.4800
"CAS.TO",2024,0.4800
"CAS.TO",2025,0.4800
"CAS.TO",2026,0.1200
"CGO.TO",1995,0.1200
"CGO.TO",1996,0.1300
"CGO.TO",1997,0.1700
"CGO.TO",1998,0.2020
"CGO.TO",1999,0.2100
"CGO.TO",2000,0.2120
"CGO.TO",2001,0.2120
"CGO.TO",2002,0.2120
"CGO.TO",2003,0.2120
"CGO.TO",2004,0.2120
"CGO.TO",2005,0.2320
"CGO.TO",2006,0.2520
"CGO.TO",2007,0.2100
"CGO.TO",2008,0.4460
"CGO.TO",2009,0.3400
"CGO.TO",2010,0.4200
"CGO.TO",2011,0.5600
"CGO.TO",2012,0.7300
"CGO.TO",2013,0.7900
"CGO.TO",2014,0.9150
"CGO.TO",2015,1.0600
"CGO.TO",2016,1.2250
"CGO.TO",2017,1.4100
"CGO.TO",2018,1.6000
"CGO.TO",2019,1.7650
"CGO.TO",2020,1.9700
"CGO.TO",2021,2.2600
"CGO.TO",2022,2.6060
"CGO.TO",2023,3.0470
"CGO.TO",2024,3.4840
"CGO.TO",2025,3.7530
"CGO.TO",2026,1.9740
"CM.TO",1995,0.3775
"CM.TO",1996,0.4500
"CM.TO",1997,0.5500
"CM.TO",1998,0.6000
"CM.TO",1999,0.6000
"CM.TO",2000,0.6600
"CM.TO",2001,0.7400
"CM.TO",2002,0.8200
"CM.TO",2003,0.8650
"CM.TO",2004,1.1750
"CM.TO",2005,1.3450
"CM.TO",2006,1.3900
"CM.TO",2007,1.6400
"CM.TO",2008,1.7400
"CM.TO",2009,1.7400
"CM.TO",2010,1.7400
"CM.TO",2011,1.7700
"CM.TO",2012,1.8400
"CM.TO",2013,1.9100
"CM.TO",2014,2.0050
"CM.TO",2015,2.2100
"CM.TO",2016,2.4200
"CM.TO",2017,2.5700
"CM.TO",2018,2.6900
"CM.TO",2019,2.8400
"CM.TO",2020,2.9200
"CM.TO",2021,2.9950
"CM.TO",2022,3.3150
"CM.TO",2023,3.4900
"CM.TO",2024,3.6700
"CM.TO",2025,3.9800
"CM.TO",2026,1.0700
"CNQ.TO",2001,0.0488
"CNQ.TO",2002,0.0616
"CNQ.TO",2003,0.0736
"CNQ.TO",2004,0.0976
"CNQ.TO",2005,0.1158
"CNQ.TO",2006,0.1472
"CNQ.TO",2007,0.1664
"CNQ.TO",2008,0.1960
"CNQ.TO",2009,0.2056
"CNQ.TO",2010,0.2936
"CNQ.TO",2011,0.3528
"CNQ.TO",2012,0.4112
"CNQ.TO",2013,0.5630
"CNQ.TO",2014,0.8816
"CNQ.TO",2015,0.9008
"CNQ.TO",2016,0.9204
"CNQ.TO",2017,1.0776
"CNQ.TO",2018,1.3128
"CNQ.TO",2019,1.4688
"CNQ.TO",2020,1.6648
"CNQ.TO",2021,1.9572
"CNQ.TO",2022,3.0192
"CNQ.TO",2023,1.8500
"CNQ.TO",2024,2.1380
"CNQ.TO",2025,2.3520
"CNQ.TO",2026,0.6250
"CPX.TO",2009,0.6300
"CPX.TO",2010,1.2600
"CPX.TO",2011,1.2600
"CPX.TO",2012,1.2600
"CPX.TO",2013,1.2600
"CPX.TO",2014,1.3100
"CPX.TO",2015,1.4100
"CPX.TO",2016,1.5100
"CPX.TO",2017,1.6160
"CPX.TO",2018,1.7320
"CPX.TO",2019,1.8560
"CPX.TO",2020,1.9860
"CPX.TO",2021,2.1220
"CPX.TO",2022,2.2560
"CPX.TO",2023,2.3900
"CPX.TO",2024,2.5340
"CPX.TO",2025,2.6860
"CPX.TO",2026,0.6910
"CTC-A.TO",1988,0.1200
"CTC-A.TO",1989,0.3000
"CTC-A.TO",1990,0.3800
"CTC-A.TO",1991,0.4000
"CTC-A.TO",1992,0.4000
"CTC-A.TO",1993,0.4000
"CTC-A.TO",1994,0.4000
"CTC-A.TO",1995,0.4000
"CTC-A.TO",1996,0.4000
"CTC-A.TO",1997,0.4000
"CTC-A.TO",1998,0.4000
"CTC-A.TO",1999,0.4000
"CTC-A.TO",2000,0.4000
"CTC-A.TO",2001,0.4000
"CTC-A.TO",2002,0.4000
"CTC-A.TO",2003,0.4000
"CTC-A.TO",2004,0.4750
"CTC-A.TO",2005,0.5600
"CTC-A.TO",2006,0.6400
"CTC-A.TO",2007,0.7200
"CTC-A.TO",2008,0.8150
"CTC-A.TO",2009,0.8400
"CTC-A.TO",2010,0.8400
"CTC-A.TO",2011,1.1000
"CTC-A.TO",2012,1.2000
"CTC-A.TO",2013,1.4000
"CTC-A.TO",2014,1.8760
"CTC-A.TO",2015,2.1000
"CTC-A.TO",2016,2.3000
"CTC-A.TO",2017,2.6000
"CTC-A.TO",2018,3.6000
"CTC-A.TO",2019,4.1520
"CTC-A.TO",2020,4.5520
"CTC-A.TO",2021,4.7000
"CTC-A.TO",2022,5.8500
"CTC-A.TO",2023,6.9000
"CTC-A.TO",2024,7.0000
"CTC-A.TO",2025,7.1000
"CTC-A.TO",2026,3.6000
"CU.TO",2000,0.1125
"CU.TO",2001,0.4700
"CU.TO",2002,0.4900
"CU.TO",2003,0.5100
"CU.TO",2004,0.5300
"CU.TO",2005,0.5500
