"ticker","date","amount"
"BCE.TO","1996-06-12",0.3400
"BCE.TO","1996-09-11",0.3400
"BCE.TO","1996-12-11",0.3400
"BCE.TO","1997-03-12",0.3400
"BCE.TO","1997-06-11",0.3400
"BCE.TO","1997-09-11",0.3400
"BCE.TO","1997-09-29",0.3300
"BCE.TO","1997-12-11",0.3400
"BCE.TO","1998-03-11",0.3400
"BCE.TO","1998-06-11",0.3400
"BCE.TO","1998-09-11",0.3400
"BCE.TO","1998-12-11",0.3400
"BCE.TO","1999-03-11",0.3400
"BCE.TO","1999-06-11",0.3400
"BCE.TO","1999-09-13",0.3400
"BCE.TO","1999-12-13",0.3400
"BCE.TO","2000-03-13",0.3400
"BCE.TO","2000-05-03",133.5220
"BCE.TO","2000-06-13",0.3000
"BCE.TO","2000-09-13",0.3000
"BCE.TO","2000-12-13",0.3000
"BCE.TO","2001-03-13",0.3000
"BCE.TO","2001-06-13",0.3000
"BCE.TO","2001-09-13",0.3000
"BCE.TO","2001-12-12",0.3000
"BCE.TO","2002-03-13",0.3000
"BCE.TO","2002-06-12",0.3000
"BCE.TO","2002-09-11",0.3000
"BCE.TO","2002-12-11",0.3000
"BCE.TO","2003-03-13",0.3000
"BCE.TO","2003-06-12",0.3000
"BCE.TO","2003-09-11",0.3000
"BCE.TO","2003-12-11",0.3000
"BCE.TO","2004-03-11",0.3000
"BCE.TO","2004-06-11",0.3000
"BCE.TO","2004-09-13",0.3000
"BCE.TO","2004-12-13",0.3000
"BCE.TO","2005-03-11",0.3300
"BCE.TO","2005-06-13",0.3300
"BCE.TO","2005-09-13",0.3300
"BCE.TO","2005-12-13",0.3300
"BCE.TO","2006-03-13",0.3300
"BCE.TO","2006-06-13",0.3300
"BCE.TO","2006-09-13",0.3300
"BCE.TO","2006-12-13",0.3300
"BCE.TO","2007-03-13",0.3650
"BCE.TO","2007-06-13",0.3650
"BCE.TO","2007-09-12",0.3650
"BCE.TO","2007-12-12",0.3650
