snapshotDate,symbol,sectorKey,industryKey,industry,sector,exDividendDate,lastDividendDate,longName,regularMarketPrice,regularMarketTime,dividendRate,dividendYield,marketCap,payoutRatio,heldPercentInsiders,heldPercentInstitutions,quoteType,typeDisp
2026-05-19,TD.TO,financial-services,banks-diversified,Banks - Diversified,Financial Services,1775692800,1775692800,The Toronto-Dominion Bank,148.38,1779220800,4.32,2.91,248800067584,0.3425,0.00044,0.55098,EQUITY,Equity
2026-05-19,BNS.TO,financial-services,banks-diversified,Banks - Diversified,Financial Services,1775520000,1775520000,The Bank of Nova Scotia,106.33,1779220800,4.4,4.14,130938339328,0.6469,0.00021,0.50928,EQUITY,Equity
2026-05-19,BCE.TO,communication-services,telecom-services,Telecom Services,Communication Services,1781481600,1773619200,BCE Inc.,32.98,1779220800,1.75,5.35,30754701312,0.2585,0.00031,0.49567002,EQUITY,Equity
2026-05-20,CAS.TO,consumer-cyclical,packaging-containers,Packaging & Containers,Consumer Cyclical,1779321600,1773273600,Cascades Inc.,10.42,1779293979,0.48,4.66,1055697088,0.48,0.23747998,0.26542,EQUITY,Equity
2026-05-20,TRP.TO,energy,oil-gas-midstream,Oil & Gas Midstream,Energy,,1774915200,TC Energy Corporation,96.81,1779294214,0.00,0.0,100853448704,0.0,0.00048000002,0.75958997,EQUITY,Equity
2026-05-20,CVE.TO,energy,oil-gas-integrated,Oil & Gas Integrated,Energy,1781481600,1773360000,Cenovus Energy Inc.,42.5,1779294231,0.88,2.01,79254806528,0.31870002,0.28871,0.54763,EQUITY,Equity
2026-05-20,EMA.TO,utilities,utilities-regulated-electric,Utilities - Regulated Electric,Utilities,,1777593600,Emera Incorporated,72.51,1779294229,0.00,0.0,22180808704,0.0,0.0029300002,0.55346,EQUITY,Equity
2026-05-20,ENGH.TO,technology,software-application,Software - Application,Technology,1778803200,1778803200,Enghouse Systems Limited,16.85,1779294127,1.24,7.31,918301632,0.9206,0.22259001,0.36973998,EQUITY,Equity
2026-05-20,SOBO.TO,energy,oil-gas-midstream,Oil & Gas Midstream,Energy,1782777600,1774915200,South Bow Corporation,51.75,1779294236,2.73,5.3,10794254336,0.9901,0.00082,0.67824,EQUITY,Equity
2026-05-20,WTE.TO,industrials,marine-shipping,Marine Shipping,Industrials,1782777600,1774915200,Westshore Terminals Investment Corporation,40.54,1779293356,1.5,3.75,2504146432,0.94339997,0.47654998,0.098000005,EQUITY,Equity
2026-05-20,CTC-A.TO,consumer-cyclical,specialty-retail,Specialty Retail,Consumer Cyclical,,1777507200,"Canadian Tire Corporation, Limited",176.72,1779294169,0.00,0.0,9297751040,0.0,0.0202,0.38317,EQUITY,Equity
2026-05-20,ENB.TO,energy,oil-gas-midstream,Oil & Gas Midstream,Energy,,1778803200,Enbridge Inc.,78.66,1779294237,0.00,0.0,171769561088,0.0,0.00127,0.52899,EQUITY,Equity
2026-05-20,SLF.TO,financial-services,insurance-diversified,Insurance - Diversified,Financial Services,,1771977600,Sun Life Financial Inc.,99.98,1779294198,0.00,0.0,55397318656,0.0,0.00064000004,0.55879,EQUITY,Equity
2026-05-20,CPX.TO,utilities,utilities-independent-power-producers,Utilities - Independent Power Producers,Utilities,,1774915200,Capital Power Corporation,64.12,1779294234,0.00,0.0,10033690624,0.0,0.00043000001,0.26919,EQUITY,Equity
2026-05-20,T.TO,communication-services,telecom-services,Telecom Services,Communication Services,,1773187200,TELUS Corporation,17.04,1779294233,0.00,0.0,26605385728,0.0,0.00057,0.50897,EQUITY,Equity
2026-05-20,PPL.TO,energy,oil-gas-midstream,Oil & Gas Midstream,Energy,1781481600,1773619200,Pembina Pipeline Corporation,68.01,1779294181,2.87,4.2,39543394304,1.0676999,0.00042,0.58816004,EQUITY,Equity
2026-05-20,CNQ.TO,energy,oil-gas-e-p,Oil & Gas E&P,Energy,1781827200,1773964800,Canadian Natural Resources Limited,67.13,1779294243,2.5,3.68,140013699072,0.45540002,0.02174,0.8022,EQUITY,Equity
2026-05-20,CM.TO,financial-services,banks-diversified,Banks - Diversified,Financial Services,1774569600,1774569600,Canadian Imperial Bank of Commerce,157.21,1779294229,4.28,2.77,144688234496,0.415,0.00022,0.53187,EQUITY,Equity
2026-05-20,CU.TO,utilities,utilities-diversified,Utilities - Diversified,Utilities,,1778112000,Canadian Utilities Limited,49.12,1779294060,0.00,0.0,13376141312,0.0,0.0033000002,0.19692,EQUITY,Equity
2026-05-20,CGO.TO,communication-services,telecom-services,Telecom Services,Communication Services,,1776902400,Cogeco Inc.,63.3,1779292685,0.00,0.0,599469824,0.0,0.01904,0.23916,EQUITY,Equity
2026-05-20,FTS.TO,utilities,utilities-regulated-electric,Utilities - Regulated Electric,Utilities,1778803200,1778803200,Fortis Inc.,77.2,1779294243,2.54,3.3,39305064448,0.7404,0.0020299999,0.56497,EQUITY,Equity
